name,content,prompt,model,max_tokens,temperature
AI Assistant,You are a helpful assistant.,Where is the capital of France?,gpt-3.5-turbo,1000,1
English to MATLAB Code,You are a helpful assistant that helps write MATLAB code using the latest features from R2020a or later. ,"Using MATLAB R2020a or later, define two random vectors x and y, fit a linear model to the data, and plot both the data and fitted line.",gpt-3.5-turbo,1000,0
Summarize Code,You are a helpful assistant that helps analyze MATLAB code and provides concise summary. ,"Summarize what the following code by Cecelya https://www.mathworks.com/matlabcentral/communitycontests/contests/5/entries/12418 does. 

m = 0:.01:1;
T = -4:.01:25; 
x=1-(5/4*(1-mod(3.6*T, 2)).^2-1/4).^2/2; 
P=exp(-T/5)/2; 
s=sinpi(P); 
c=cospi(P); 
y=2*m'.^5.*(1.6*m'-1).^2.*s; 
S=x.*(m'.*s+y.*c); 
X=S.*sinpi(T); 
Y=S.*cospi(T); 
Z=m'.*c+y.*s; 
surf(X,Y,x.*Z,X.^2+Y.^2+Z.^4); 
axis( 'equal','off') 
view([0 33]) 
colormap(flip(hot)) 
shading('interp') shading('interp')",gpt-3.5-turbo,1000,0
Explain Code Step by Step,You are a helpful assistant that helps analyze MATLAB code by providing explanation step by step.,"Explain what the following code  by Cecelya https://www.mathworks.com/matlabcentral/communitycontests/contests/5/entries/12418 does. 

m = 0:.01:1;
T = -4:.01:25; 
x=1-(5/4*(1-mod(3.6*T, 2)).^2-1/4).^2/2; 
P=exp(-T/5)/2; 
s=sinpi(P); 
c=cospi(P); 
y=2*m'.^5.*(1.6*m'-1).^2.*s; 
S=x.*(m'.*s+y.*c); 
X=S.*sinpi(T); 
Y=S.*cospi(T); 
Z=m'.*c+y.*s; 
surf(X,Y,x.*Z,X.^2+Y.^2+Z.^4); 
axis( 'equal','off') 
view([0 33]) 
colormap(flip(hot)) 
shading('interp')",gpt-3.5-turbo,1000,0
Script to function,You are a helpful assistant that helps convert MATLAB scripts to functions using latest features in R2020a or later.,"Convert the following script  by Cecelya https://www.mathworks.com/matlabcentral/communitycontests/contests/5/entries/12418 to function, using m and T as input variables and set default values to those variables. 

m = 0:.01:1;
T = -4:.01:25; 
x=1-(5/4*(1-mod(3.6*T, 2)).^2-1/4).^2/2; 
P=exp(-T/5)/2; 
s=sinpi(P); 
c=cospi(P); 
y=2*m'.^5.*(1.6*m'-1).^2.*s; 
S=x.*(m'.*s+y.*c); 
X=S.*sinpi(T); 
Y=S.*cospi(T); 
Z=m'.*c+y.*s; 
surf(X,Y,x.*Z,X.^2+Y.^2+Z.^4); 
axis( 'equal','off') 
view([0 33]) 
colormap(flip(hot)) 
shading('interp')",gpt-3.5-turbo,1000,0
Add doc to function,"You are a helpful assistant that helps analyze MATLAB functions and write an elaborate, high quality docstring.","Add useful docstring to this function derived from the code by  by Cecelya https://www.mathworks.com/matlabcentral/communitycontests/contests/5/entries/12418.  

function plotBloomingLight(m,T)
arguments
    m double {mustBeVector} = 0:.01:1;
    T double {mustBeVector} = -4:.01:25; 
end
x=1-(5/4*(1-mod(3.6*T, 2)).^2-1/4).^2/2; 
P=exp(-T/5)/2; 
s=sinpi(P); 
c=cospi(P); 
y=2*m'.^5.*(1.6*m'-1).^2.*s; 
S=x.*(m'.*s+y.*c); 
X=S.*sinpi(T); 
Y=S.*cospi(T); 
Z=m'.*c+y.*s; 
surf(X,Y,x.*Z,X.^2+Y.^2+Z.^4); 
axis( 'equal','off') 
view([0 33]) 
colormap(flip(hot)) 
shading('interp')
end",gpt-3.5-turbo,1000,0
Fix Bug,You are a helpful assistant that helps analyze buggy MATLAB code and provide error free code.,"Fix bug in the following MATLAB code

% Buggy MATLAB code

function y = add(a, b)
y = ""a"" + b
end

% Fixed MATLAB code",gpt-3.5-turbo,1000,0
Write Unit Tests,You are a helpful assistant that helps analyze MATLAB functions and write appropriate unit tests.,"Write unit tests for this function, 

function y = add(a, b)
y = a + b
end

Wite unit tests for the above MATLAB function",gpt-3.5-turbo,1000,0
Vectorize Code,You are a helpful assistant that helps analyze MATLAB code and rewrite it to improve efficiency.,"Vectorize the following code without using for loop. 

i = 0;
     for t = 0:.01:10
         i = i + 1;
         y(i) = sin(t);
     end",gpt-3.5-turbo,1000,0
MATLAB to Python,You are a helpful assistant that helps translate MATLAB code to Python. Include import statements.,"Translate the followng MATLAB code to Python. x = rand(1,100); y = rand(1,100); mdl = fitlm(x, y); figure scatter(x, y) hold on plot(mdl) hold off xlabel('x') ylabel('y') legend('Data', 'Fitted Line')",gpt-3.5-turbo,1000,0
